iid_pid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,IID_PID
6781.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,6.0,13.0,5.0,7.0,436,0,45.0,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,10.0,9.0,8.0,8.0,7.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-436
6780.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,7.0,13.0,6.0,6.0,435,0,21.0,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,0.0,1.0,8.0,8.0,4.0,7.0,4.25,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-435
6779.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,4.0,13.0,4.0,5.0,434,0,1.0,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,2.0,7.0,6.0,7.0,6.0,5.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-434
6778.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,3.0,13.0,3.0,4.0,433,0,-7.0,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,1.0,5.0,5.0,2.0,5.0,1.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-433
6777.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,11.0,13.0,9.0,3.0,432,0,24.0,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,0.0,2.0,5.0,9.0,5.0,10.0,9.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-432
6776.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,9.0,13.0,8.0,2.0,431,0,-1.0,1.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,5.0,8.0,7.0,5.0,7.0,2.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-431
6775.0,451.0,12.0,1.0,22.0,2.0,17.0,11.0,8.0,13.0,7.0,1.0,430,0,17.0,1.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,2.0,5.0,9.0,5.0,8.0,3.0,30.0,8.0,4.0,3.0,1.0,650206.0,3788100.0,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,1.0,20.0,40.0,5.0,20.0,5.0,10.0,451.0-430
6774.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,2.0,2.0,1.0,10.0,439,0,21.0,1.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,5.0,9.0,10.0,5.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,170070.25,5298000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-439
6773.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,13.0,2.0,10.0,9.0,438,1,46.0,1.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,1.0,4.0,6.0,8.0,7.0,9.0,2.0,25.0,13.0,2.0,3.0,7.0,10405.25,5368000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-438
6772.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,12.0,2.0,9.0,8.0,437,0,53.0,1.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,7.0,7.0,9.0,7.0,10.0,7.0,25.0,13.0,2.0,3.0,7.0,10405.25,5368000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-437
6771.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,6.0,2.0,4.0,7.0,436,0,48.0,1.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,0.0,7.0,7.0,8.0,8.0,8.0,7.0,25.0,13.0,2.0,3.0,7.0,170834.25,5368000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-436
6770.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,7.0,2.0,5.0,6.0,435,0,-8.0,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,7.0,9.0,10.0,9.0,9.0,6.0,25.0,13.0,2.0,3.0,7.0,10408.25,5298000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-435
6769.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,4.0,2.0,3.0,5.0,434,0,-1.0,1.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,5.0,5.0,5.0,7.0,5.0,9.0,25.0,13.0,2.0,3.0,7.0,10789.5,5368000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-434
6768.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,3.0,2.0,2.0,4.0,433,0,33.0,0.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,4.0,5.0,6.0,4.0,4.0,1.0,25.0,13.0,2.0,3.0,7.0,10789.5,5298000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-433
6767.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,11.0,2.0,8.0,3.0,432,1,4.0,1.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,5.0,10.0,10.0,9.0,10.0,10.0,25.0,13.0,2.0,3.0,7.0,10408.25,5298000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-432
6766.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,9.0,2.0,7.0,2.0,431,0,6.0,0.0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,0.0,7.0,8.0,8.0,8.0,6.0,3.0,25.0,13.0,2.0,3.0,7.0,10406.75,5298000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-431
6765.0,450.0,11.0,1.0,21.0,2.0,17.0,11.0,8.0,2.0,6.0,1.0,430,0,1.0,0.0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,0.0,5.0,7.0,8.0,6.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,10789.5,5298000.0,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,0.0,50.0,5.0,5.0,5.0,5.0,30.0,450.0-430
6764.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,2.0,8.0,6.0,10.0,439,0,46.0,0.0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,8.0,9.0,9.0,4.0,9.0,5.5,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-439
6763.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,13.0,8.0,5.0,9.0,438,0,12.0,0.0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,0.0,7.0,7.0,8.0,8.0,7.0,4.0,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-438
6762.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,12.0,8.0,4.0,8.0,437,0,35.0,0.0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,0.0,9.0,7.0,8.0,8.0,9.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-437
6761.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,6.0,8.0,9.0,7.0,436,1,78.0,0.0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-436
6760.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,7.0,8.0,10.0,6.0,435,1,1.0,0.0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,7.0,7.0,8.0,9.0,10.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-435
6759.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,4.0,8.0,8.0,5.0,434,0,-12.0,0.0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,0.0,8.0,8.0,8.0,8.0,8.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-434
6758.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,3.0,8.0,7.0,4.0,433,0,44.0,1.0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,0.0,7.0,7.0,7.0,7.0,4.0,3.0,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-433
6757.0,449.0,10.0,1.0,20.0,2.0,17.0,11.0,11.0,8.0,3.0,3.0,432,0,24.0,0.0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,1.0,8.0,8.0,9.0,9.0,10.0,10.0,23.0,1.0,6.0,7.0,1.0,11552.0,5228000.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,1.0,55.0,2.0,1.0,40.0,1.0,1.0,449.0-432
